FID,Id,ORIG_FID,Id_1,typ,x,y
446,0,3,0,mark,242.7539978,-103.9430008
447,0,3,0,mark,243.0050049,-105.0449982
448,0,3,0,mark,243.2550049,-106.1470032
449,0,3,0,mark,243.5059967,-107.2490005
450,0,3,0,mark,243.7559967,-108.3509979
451,0,3,0,mark,244.0070038,-109.4530029
452,0,3,0,mark,244.2570038,-110.5550003
453,0,3,0,mark,244.5079956,-111.6569977
454,0,3,0,mark,244.7579956,-112.7590027
455,0,3,0,mark,245.0090027,-113.8619995
456,0,3,0,mark,245.3419952,-114.9410019
457,0,3,0,mark,245.6990051,-116.0130005
458,0,3,0,mark,246.0559998,-117.0849991
459,0,3,0,mark,246.4140015,-118.1569977
460,0,3,0,mark,246.7709961,-119.2300034
461,0,3,0,mark,247.1289978,-120.3020020
462,0,3,0,mark,247.4859924,-121.3740005
463,0,3,0,mark,247.8430023,-122.4459991
464,0,3,0,mark,248.2010040,-123.5179977
465,0,3,0,mark,248.5579987,-124.5910034
466,0,3,0,mark,248.9270020,-125.6589966
467,0,3,0,mark,249.3820038,-126.6930008
468,0,3,0,mark,249.8370056,-127.7279968
469,0,3,0,mark,250.2929993,-128.7619934
470,0,3,0,mark,250.7480011,-129.7969971
471,0,3,0,mark,251.2030029,-130.8309937
472,0,3,0,mark,251.6580048,-131.8659973
473,0,3,0,mark,252.1130066,-132.8999939
474,0,3,0,mark,252.5690002,-133.9349976
475,0,3,0,mark,253.0240021,-134.9689941
476,0,3,0,mark,253.4790039,-136.0039978
477,0,3,0,mark,253.9340057,-137.0379944
478,0,3,0,mark,254.3890076,-138.0729980
479,0,3,0,mark,254.8439941,-139.1069946
480,0,3,0,mark,255.3000031,-140.1419983
481,0,3,0,mark,255.7550049,-141.1759949
482,0,3,0,mark,256.2099915,-142.2109985
483,0,3,0,mark,256.6650085,-143.2449951
484,0,3,0,mark,257.1199951,-144.2799988
485,0,3,0,mark,257.5759888,-145.3139954
486,0,3,0,mark,258.0310059,-146.3489990
487,0,3,0,mark,258.4859924,-147.3829956
488,0,3,0,mark,258.9410095,-148.4179993
489,0,4,0,mark,529.6870117,-155.0659943
490,0,4,0,mark,530.1989746,-154.0590057
491,0,4,0,mark,530.7109985,-153.0509949
492,0,4,0,mark,531.2230225,-152.0440063
493,0,4,0,mark,531.7360229,-151.0359955
494,0,4,0,mark,532.2479858,-150.0290070
495,0,4,0,mark,532.7600098,-149.0209961
496,0,4,0,mark,533.2719727,-148.0140076
497,0,4,0,mark,533.7849731,-147.0070038
498,0,4,0,mark,534.2969971,-145.9989929
499,0,4,0,mark,534.8090210,-144.9920044
500,0,4,0,mark,535.3209839,-143.9839935
501,0,4,0,mark,535.8339844,-142.9770050
502,0,4,0,mark,536.3460083,-141.9689941
503,0,4,0,mark,536.8579712,-140.9620056
504,0,4,0,mark,537.3709717,-139.9539948
505,0,4,0,mark,537.8829956,-138.9470062
506,0,4,0,mark,538.3950195,-137.9389954
507,0,4,0,mark,538.9069824,-136.9320068
508,0,4,0,mark,539.4199829,-135.9239960
509,0,4,0,mark,539.9329834,-134.9179993
510,0,4,0,mark,540.4609985,-133.9179993
511,0,4,0,mark,540.9879761,-132.9190063
512,0,4,0,mark,541.5159912,-131.9190063
513,0,4,0,mark,542.0440063,-130.9199982
514,0,4,0,mark,542.5709839,-129.9199982
515,0,4,0,mark,543.0989990,-128.9199982
516,0,4,0,mark,543.6259766,-127.9209976
517,0,4,0,mark,544.1539917,-126.9209976
518,0,4,0,mark,544.6810303,-125.9219971
519,0,4,0,mark,545.2089844,-124.9219971
520,0,4,0,mark,545.7360229,-123.9229965
521,0,4,0,mark,546.2639771,-122.9229965
522,0,4,0,mark,546.8020020,-121.9300003
523,0,4,0,mark,547.3750000,-120.9560013
524,0,4,0,mark,547.9489746,-119.9810028
525,0,4,0,mark,548.5219727,-119.0070038
526,0,4,0,mark,549.0949707,-118.0329971
527,0,4,0,mark,549.6680298,-117.0589981
528,0,4,0,mark,550.2410278,-116.0849991
529,0,4,0,mark,550.8140259,-115.1110001
530,0,4,0,mark,551.3870239,-114.1360016
531,0,4,0,mark,551.9600220,-113.1620026
532,0,4,0,mark,552.5330200,-112.1880035
533,0,4,0,mark,553.1060181,-111.2139969
534,0,4,0,mark,553.6790161,-110.2399979
