Easting,Northing,fuffens,r,g,b,Name
653299.5752047529,7558603.982937948,1342.6562778130208,248,57,4,3
653280.1138374204,7558602.436195613,1344.2692918968096,248,57,4,3
653260.6891010907,7558600.68576111,1344.1415101484374,248,57,4,3
653241.5292522076,7558598.773366188,1344.238626190918,248,57,4,3
653222.1108915735,7558596.564748574,1343.8209485161133,248,57,4,3
653202.5188839636,7558594.570652558,1344.7091436951264,248,57,4,3
653183.1378315877,7558592.673587107,1347.6637519983724,248,57,4,3
653163.9798483097,7558590.612056489,1349.3144672421874,248,57,4,3
653145.252844704,7558588.417202617,1351.632906671689,248,57,4,3
653127.2112171127,7558585.223934987,1353.3218244501954,248,57,4,3
653706.4701762365,7558667.379221784,1279.0915395152995,248,57,4,3
653682.5025949876,7558670.794246985,1280.5383693166016,248,57,4,3
653658.6416152015,7558673.831911806,1281.0243794658204,248,57,4,3
653634.9514349916,7558676.645914648,1282.4544302104491,248,57,4,3
653611.3567268187,7558679.793614166,1285.8454680009766,248,57,4,3
653587.9994716661,7558683.414604565,1290.8047600774742,248,57,4,3
653564.8848345603,7558687.481100269,1294.835757601237,248,57,4,3
653542.3736007982,7558691.864842539,1299.8806207985026,248,57,4,3
653520.0033464346,7558696.172939083,1304.411322944057,248,57,4,3
653497.630406216,7558700.29376972,1309.9754711051432,248,57,4,3
653475.3576371544,7558704.027469116,1314.8295109580074,248,57,4,3
653453.3798513197,7558707.039198755,1320.0753867134488,248,57,4,3
653431.6341764957,7558709.503112492,1319.8896657128905,248,57,4,3
653410.4166670439,7558711.905154991,1321.637712219401,248,57,4,3
653389.7898563867,7558714.661078429,1322.130944639881,248,57,4,3
653369.5912679145,7558718.032732722,1320.2849402122395,248,57,4,3
653349.9095405936,7558721.707015369,1323.217510608747,248,57,4,3
653330.9930092175,7558725.155601451,1324.1319517053385,248,57,4,3
653312.4498436872,7558728.3831567215,1325.5475755668526,248,57,4,3
653294.2887959555,7558731.652400348,1326.289441951497,248,57,4,3
653276.7509395104,7558734.790457098,1327.2637072158902,248,57,4,3
653259.7971151847,7558736.989594839,1328.675419145368,248,57,4,3
653243.7604716914,7558737.061695542,1329.423626216797,248,57,4,3
653229.5516952659,7558733.103948588,1330.8638332684152,248,57,4,3
653216.9371843558,7558725.046179405,1332.917316371896,248,57,4,3
653205.8461148135,7558713.839338324,1333.8356497784598,248,57,4,3
653197.6749346905,7558699.164113562,1335.693445329818,248,57,4,3
653506.9917045375,7558596.775677717,1296.6167839833984,248,57,4,3
653506.4044823092,7558626.164129348,1296.572574027832,248,57,4,3
653505.8122924663,7558656.160980489,1297.416897845703,248,57,4,3
653505.3838705603,7558688.152936176,1298.1025341419272,248,57,4,3
653505.0094586278,7558718.949448916,1296.5459777695312,248,57,4,3
653504.7241688416,7558749.891767196,1293.9434756266276,248,57,4,3
653504.6042101693,7558781.050011149,1295.0502931705728,248,57,4,3
653504.9171052929,7558812.3933435185,1293.4203459495675,248,57,4,3
653505.1658052917,7558842.88067292,1291.4084967282986,248,57,4,3
653504.6699012904,7558874.184986241,1290.256720095443,248,57,4,3
653503.2810436421,7558904.930169242,1290.1968105215926,248,57,4,3
653501.4381310198,7558935.376614255,1292.0931110797435,248,57,4,3
653499.2390542772,7558964.940208323,1295.0236095575892,248,57,4,3
653495.8957303131,7558991.719584477,1299.4453734944198,248,57,4,3
653490.5574407341,7559016.0290650325,1302.5491378804688,248,57,4,3
653482.780865806,7559038.15117252,1305.5114848597655,248,57,4,3
653472.248088178,7559055.922404065,1307.3080464898435,248,57,4,3
653459.1058196151,7559068.059257625,1308.8678606101566,248,57,4,3
653443.9522669327,7559073.267777835,1310.1947629984375,248,57,4,3
653427.9643507177,7559072.732807862,1310.8366447915735,248,57,4,3
653411.549256435,7559067.593092217,1310.1391279049944,248,57,4,3
653395.7666411889,7559058.773574707,1309.6915911618653,248,57,4,3
653382.3135957476,7559045.542280593,1309.285517500651,248,57,4,3
653371.5914654323,7559028.026171834,1309.0470098471353,248,57,4,3
653363.0637628167,7559007.363713435,1308.5667124726565,248,57,4,3
653356.4860978039,7558983.783762327,1307.9411459789062,248,57,4,3
653351.1392979856,7558959.434612063,1310.571512254557,248,57,4,3
653346.5289032841,7558934.342868629,1312.4227066189544,248,57,4,3
653341.8108171658,7558909.413272486,1313.149652196661,248,57,4,3
