time,Easting,Northing,Altitude,mark,glacier,fuffens,Name
2017-04-07 13:14:08,655092.5672661188,7556332.931981535,1452.9276629264937,1345.31145208944,,,erik1
2017-04-07 13:14:09,655141.6831349363,7556326.1496125525,1449.0876629264935,1346.1368321745404,,,erik1
2017-04-07 13:14:10,655190.6879516025,7556319.47384884,1450.0476629264936,1353.0873115131412,,,erik1
2017-04-07 13:14:11,655239.616273468,7556312.738174908,1450.0476629264936,1361.9628181160615,,,erik1
2017-04-07 13:14:12,655288.1625459808,7556305.671257421,1450.0476629264936,1366.1106542253217,,,erik1
2017-04-07 13:14:13,655336.3904110284,7556298.436147896,1450.0476629264936,1364.7325263102825,,,erik1
2017-04-07 13:14:14,655384.4663118131,7556291.173989876,1450.0476629264936,1361.726668541728,,,erik1
2017-04-07 13:14:15,655435.5537674853,7556283.945143106,1450.0476629264936,1359.300398903056,,,erik1
2017-04-07 13:14:16,655480.8760884735,7556278.072695316,1450.0476629264936,1359.726272574931,,,erik1
2017-04-07 13:14:17,655530.2227740745,7556269.204423493,1450.0476629264936,1359.3568415007123,,,erik1
2017-04-07 13:14:18,655577.6035821477,7556262.465594219,1450.0476629264936,1357.8476638444622,,,erik1
2017-04-07 13:14:19,655629.1316731155,7556260.755127631,1450.5276629264936,1355.3466354460247,,,erik1
2017-04-07 13:14:20,655673.5793036364,7556260.789201848,1450.5276629264936,1354.4005140671186,,,erik1
2017-04-07 13:14:21,655718.0416686436,7556264.44923488,1450.5276629264936,1357.7398696452435,,,erik1
2017-04-07 13:14:22,655759.6527032237,7556274.267926446,1451.0076629264936,1361.8625449284468,,,erik1
2017-04-07 13:14:23,655798.9789197659,7556288.22856915,1451.0076629264936,1365.2012180358686,,,erik1
2017-04-07 13:14:24,655834.9604705735,7556305.742319835,1451.0076629264936,1366.9408636491498,,,erik1
2017-04-07 13:14:25,655868.5284525324,7556326.6314118095,1451.0076629264936,1365.9541474968062,,,erik1
2017-04-07 13:14:26,655896.7758411338,7556350.64437384,1451.0076629264936,1363.3388148893841,,,erik1
2017-04-07 13:14:27,655920.5699384644,7556376.869080357,1451.0076629264936,1359.6579568620405,,,erik1
2017-04-07 13:14:28,655939.930537636,7556404.922620097,1451.0076629264936,1355.6507719387703,,,erik1
2017-04-07 13:14:29,655954.9047195154,7556434.376956116,1451.0076629264936,1351.6345175163374,,,erik1
2017-04-07 13:14:30,655964.6953749745,7556465.221056097,1451.0076629264936,1349.091451071025,,,erik1
2017-04-07 13:14:31,655967.6269037103,7556496.294800069,1451.0076629264936,1347.4900858561812,,,erik1
2017-04-07 13:14:32,655965.5597038885,7556527.392749274,1451.0076629264936,1345.9187941764935,,,erik1
2017-04-07 13:14:33,655957.2651623625,7556557.428831025,1451.0076629264936,1345.158933307353,,,erik1
2017-04-07 13:14:34,655946.2092475361,7556585.63021832,1451.0076629264936,1344.7763162077435,,,erik1
2017-04-07 13:14:35,655931.8805045822,7556611.834801252,1451.0076629264936,1345.4877393718061,,,erik1
2017-04-07 13:14:36,655915.5170598209,7556635.996030563,1451.0076629264936,1346.9969230046186,,,erik1
2017-04-07 13:14:37,655896.5475812817,7556657.957514952,1451.0076629264936,1348.5172318522748,,,erik1
2017-04-07 13:14:38,655874.3888218027,7556677.009632821,1451.0076629264936,1350.8094214538373,,,erik1
2017-04-07 13:14:39,655850.7986709219,7556693.015643386,1451.0076629264936,1353.4597622575484,,,erik1
2017-04-07 13:14:40,655827.086337287,7556706.888560546,1451.0076629264936,1356.1202435827436,,,erik1
2017-04-07 13:14:41,655802.7438486132,7556719.2718290975,1451.0076629264936,1358.7674761491498,,,erik1
2017-04-07 13:14:42,655778.5243275831,7556731.016589935,1451.0076629264936,1359.0040492350872,,,erik1
2017-04-07 13:14:43,655753.7932430498,7556742.430838156,1451.0076629264936,1358.0512183171186,,,erik1
2017-04-07 13:14:44,655728.1917288648,7556752.9122064905,1451.0076629264936,1356.6215323796187,,,erik1
